PING 10.27.20.10 (10.27.20.10) 56(84) bytes of data.
64 bytes from 10.27.20.10: icmp_seq=109 ttl=58 time=1.13 ms
64 bytes from 10.27.20.10: icmp_seq=110 ttl=58 time=2.82 ms
64 bytes from 10.27.20.10: icmp_seq=111 ttl=58 time=1.05 ms
64 bytes from 10.27.20.10: icmp_seq=112 ttl=58 time=1.68 ms
64 bytes from 10.27.20.10: icmp_seq=113 ttl=58 time=1.14 ms
64 bytes from 10.27.20.10: icmp_seq=114 ttl=58 time=2.22 ms
64 bytes from 10.27.20.10: icmp_seq=115 ttl=58 time=0.786 ms
64 bytes from 10.27.20.10: icmp_seq=116 ttl=58 time=2.79 ms
64 bytes from 10.27.20.10: icmp_seq=117 ttl=58 time=1.47 ms
64 bytes from 10.27.20.10: icmp_seq=118 ttl=58 time=1.47 ms
64 bytes from 10.27.20.10: icmp_seq=119 ttl=58 time=2.77 ms
64 bytes from 10.27.20.10: icmp_seq=120 ttl=58 time=0.754 ms
64 bytes from 10.27.20.10: icmp_seq=121 ttl=58 time=2.55 ms
64 bytes from 10.27.20.10: icmp_seq=122 ttl=58 time=1.39 ms
64 bytes from 10.27.20.10: icmp_seq=123 ttl=58 time=1.29 ms
64 bytes from 10.27.20.10: icmp_seq=124 ttl=58 time=1.34 ms
64 bytes from 10.27.20.10: icmp_seq=125 ttl=58 time=1.55 ms
64 bytes from 10.27.20.10: icmp_seq=126 ttl=58 time=1.06 ms
64 bytes from 10.27.20.10: icmp_seq=127 ttl=58 time=1.55 ms
64 bytes from 10.27.20.10: icmp_seq=128 ttl=58 time=2.54 ms
64 bytes from 10.27.20.10: icmp_seq=129 ttl=58 time=2.55 ms
64 bytes from 10.27.20.10: icmp_seq=130 ttl=58 time=0.906 ms
64 bytes from 10.27.20.10: icmp_seq=131 ttl=58 time=0.472 ms
64 bytes from 10.27.20.10: icmp_seq=132 ttl=58 time=1.59 ms
64 bytes from 10.27.20.10: icmp_seq=133 ttl=58 time=0.835 ms
64 bytes from 10.27.20.10: icmp_seq=134 ttl=58 time=3.22 ms
64 bytes from 10.27.20.10: icmp_seq=135 ttl=58 time=1.22 ms
64 bytes from 10.27.20.10: icmp_seq=136 ttl=58 time=1.22 ms
64 bytes from 10.27.20.10: icmp_seq=137 ttl=58 time=0.583 ms
64 bytes from 10.27.20.10: icmp_seq=138 ttl=58 time=1.46 ms
64 bytes from 10.27.20.10: icmp_seq=139 ttl=58 time=1.26 ms
64 bytes from 10.27.20.10: icmp_seq=140 ttl=58 time=1.20 ms
64 bytes from 10.27.20.10: icmp_seq=141 ttl=58 time=1.07 ms
64 bytes from 10.27.20.10: icmp_seq=142 ttl=58 time=2.09 ms
64 bytes from 10.27.20.10: icmp_seq=143 ttl=58 time=1.37 ms
64 bytes from 10.27.20.10: icmp_seq=144 ttl=58 time=4.58 ms
64 bytes from 10.27.20.10: icmp_seq=145 ttl=58 time=1.01 ms
64 bytes from 10.27.20.10: icmp_seq=146 ttl=58 time=3.03 ms
64 bytes from 10.27.20.10: icmp_seq=147 ttl=58 time=1.28 ms
64 bytes from 10.27.20.10: icmp_seq=148 ttl=58 time=1.09 ms
64 bytes from 10.27.20.10: icmp_seq=149 ttl=58 time=1.29 ms
64 bytes from 10.27.20.10: icmp_seq=150 ttl=58 time=14.7 ms
64 bytes from 10.27.20.10: icmp_seq=151 ttl=58 time=0.871 ms
64 bytes from 10.27.20.10: icmp_seq=152 ttl=58 time=2.15 ms
64 bytes from 10.27.20.10: icmp_seq=153 ttl=58 time=1.23 ms
64 bytes from 10.27.20.10: icmp_seq=154 ttl=58 time=0.782 ms
64 bytes from 10.27.20.10: icmp_seq=155 ttl=58 time=1.12 ms
64 bytes from 10.27.20.10: icmp_seq=156 ttl=58 time=0.995 ms
64 bytes from 10.27.20.10: icmp_seq=157 ttl=58 time=1.87 ms
64 bytes from 10.27.20.10: icmp_seq=158 ttl=58 time=1.16 ms
64 bytes from 10.27.20.10: icmp_seq=159 ttl=58 time=4.49 ms
64 bytes from 10.27.20.10: icmp_seq=160 ttl=58 time=3.49 ms
64 bytes from 10.27.20.10: icmp_seq=161 ttl=58 time=1.12 ms
64 bytes from 10.27.20.10: icmp_seq=162 ttl=58 time=1.47 ms
64 bytes from 10.27.20.10: icmp_seq=163 ttl=58 time=2.77 ms
64 bytes from 10.27.20.10: icmp_seq=164 ttl=58 time=0.601 ms
64 bytes from 10.27.20.10: icmp_seq=165 ttl=58 time=1.76 ms
64 bytes from 10.27.20.10: icmp_seq=166 ttl=58 time=2.72 ms
64 bytes from 10.27.20.10: icmp_seq=167 ttl=58 time=2.72 ms
64 bytes from 10.27.20.10: icmp_seq=168 ttl=58 time=2.09 ms
64 bytes from 10.27.20.10: icmp_seq=169 ttl=58 time=0.641 ms
64 bytes from 10.27.20.10: icmp_seq=170 ttl=58 time=3.65 ms
64 bytes from 10.27.20.10: icmp_seq=171 ttl=58 time=1.26 ms
64 bytes from 10.27.20.10: icmp_seq=172 ttl=58 time=4.04 ms
64 bytes from 10.27.20.10: icmp_seq=173 ttl=58 time=1.73 ms
64 bytes from 10.27.20.10: icmp_seq=174 ttl=58 time=0.617 ms
64 bytes from 10.27.20.10: icmp_seq=175 ttl=58 time=1.31 ms
64 bytes from 10.27.20.10: icmp_seq=176 ttl=58 time=1.03 ms
64 bytes from 10.27.20.10: icmp_seq=177 ttl=58 time=3.01 ms
64 bytes from 10.27.20.10: icmp_seq=178 ttl=58 time=1.11 ms
64 bytes from 10.27.20.10: icmp_seq=179 ttl=58 time=0.671 ms
64 bytes from 10.27.20.10: icmp_seq=180 ttl=58 time=1.33 ms
64 bytes from 10.27.20.10: icmp_seq=181 ttl=58 time=1.23 ms
64 bytes from 10.27.20.10: icmp_seq=182 ttl=58 time=0.655 ms
64 bytes from 10.27.20.10: icmp_seq=183 ttl=58 time=1.08 ms
64 bytes from 10.27.20.10: icmp_seq=184 ttl=58 time=0.646 ms
64 bytes from 10.27.20.10: icmp_seq=185 ttl=58 time=2.95 ms
64 bytes from 10.27.20.10: icmp_seq=186 ttl=58 time=2.98 ms
64 bytes from 10.27.20.10: icmp_seq=187 ttl=58 time=0.600 ms
64 bytes from 10.27.20.10: icmp_seq=188 ttl=58 time=0.930 ms
64 bytes from 10.27.20.10: icmp_seq=189 ttl=58 time=19.0 ms
64 bytes from 10.27.20.10: icmp_seq=190 ttl=58 time=0.879 ms
64 bytes from 10.27.20.10: icmp_seq=191 ttl=58 time=1.46 ms
64 bytes from 10.27.20.10: icmp_seq=192 ttl=58 time=4.05 ms
64 bytes from 10.27.20.10: icmp_seq=193 ttl=58 time=0.898 ms
64 bytes from 10.27.20.10: icmp_seq=194 ttl=58 time=0.830 ms
64 bytes from 10.27.20.10: icmp_seq=195 ttl=58 time=3.18 ms
64 bytes from 10.27.20.10: icmp_seq=196 ttl=58 time=2.21 ms
64 bytes from 10.27.20.10: icmp_seq=197 ttl=58 time=2.13 ms
64 bytes from 10.27.20.10: icmp_seq=198 ttl=58 time=2.62 ms
64 bytes from 10.27.20.10: icmp_seq=199 ttl=58 time=0.742 ms
64 bytes from 10.27.20.10: icmp_seq=200 ttl=58 time=3.29 ms
64 bytes from 10.27.20.10: icmp_seq=201 ttl=58 time=4.20 ms
64 bytes from 10.27.20.10: icmp_seq=202 ttl=58 time=4.00 ms
64 bytes from 10.27.20.10: icmp_seq=203 ttl=58 time=3.50 ms
64 bytes from 10.27.20.10: icmp_seq=204 ttl=58 time=1.19 ms
64 bytes from 10.27.20.10: icmp_seq=205 ttl=58 time=3.92 ms
64 bytes from 10.27.20.10: icmp_seq=206 ttl=58 time=3.43 ms
64 bytes from 10.27.20.10: icmp_seq=207 ttl=58 time=5.36 ms
64 bytes from 10.27.20.10: icmp_seq=208 ttl=58 time=3.75 ms
64 bytes from 10.27.20.10: icmp_seq=209 ttl=58 time=2.01 ms
64 bytes from 10.27.20.10: icmp_seq=210 ttl=58 time=5.14 ms
64 bytes from 10.27.20.10: icmp_seq=211 ttl=58 time=5.76 ms
64 bytes from 10.27.20.10: icmp_seq=212 ttl=58 time=7.62 ms
64 bytes from 10.27.20.10: icmp_seq=213 ttl=58 time=5.18 ms
64 bytes from 10.27.20.10: icmp_seq=214 ttl=58 time=1.92 ms
64 bytes from 10.27.20.10: icmp_seq=215 ttl=58 time=4.25 ms
64 bytes from 10.27.20.10: icmp_seq=216 ttl=58 time=4.76 ms
64 bytes from 10.27.20.10: icmp_seq=217 ttl=58 time=6.14 ms
64 bytes from 10.27.20.10: icmp_seq=218 ttl=58 time=4.08 ms
64 bytes from 10.27.20.10: icmp_seq=219 ttl=58 time=1.62 ms
64 bytes from 10.27.20.10: icmp_seq=220 ttl=58 time=5.66 ms
64 bytes from 10.27.20.10: icmp_seq=221 ttl=58 time=6.93 ms
64 bytes from 10.27.20.10: icmp_seq=222 ttl=58 time=3.97 ms
64 bytes from 10.27.20.10: icmp_seq=223 ttl=58 time=4.20 ms

--- 10.27.20.10 ping statistics ---
223 packets transmitted, 223 received, 0% packet loss, time 44892ms
rtt min/avg/max/mdev = 0.472/2.245/18.979/2.066 ms
